dep_hash,dep_address,dep_amount,dep_time,triplets_count,linked_withdraws_count,truncated
0xcbb2e4ec5faba47df58fe1689b4e27fc48126348d3289b1faee72ee61505d455,0xcd0b3ceb61b4eb0b673833860978d1de5934b90d,0.405,2026-06-10 15:20:35.000000 UTC,160,51,0
0xf298422d39ddf089b317a29c34b9b22674e6a0abed2232f358eedf1cdc9c7f19,0xfb9185e0cb537ed87bed5f308c542135f07c0056,0.1175,2026-06-10 07:10:11.000000 UTC,200,69,1
0xa386daecb75df797f7277ea04b5a126c821c815544f5a03cbb9314861094ad6e,0x9a675d19243a752f286e45173785ea2e8fdce669,0.17833,2026-06-10 00:35:11.000000 UTC,0,0,0
0xf1dac5d71a2f2625c291b84302c7811109607d94a47bf4ecd3d2724b9c3a9364,0x9a675d19243a752f286e45173785ea2e8fdce669,16.28802,2026-06-09 23:52:59.000000 UTC,0,0,0
0x4ff3fa0e409c65e125e3985db153f40c3e48573d21382fb5ba65c9460799a999,0x8c0c9b3164aff16be9fa122f51dbfdb369400de3,1.825,2026-06-09 18:04:23.000000 UTC,200,72,1
0x29a09d76976dbc14f1392b5aa52b2102396a957180bff9519d273c106976ead4,0x36aaee3ab13c73a5856f970c8424219493f2b16e,0.14909,2026-06-09 15:54:59.000000 UTC,0,0,0
0x7d73f30c9c8299f5b2a99f0cccfa4092e17d1d1ecd221fe34f7666bf3ee7469a,0x940a7490062b11c489b294706ad5b6523873e3d1,0.013,2026-06-09 15:02:59.000000 UTC,200,37,1
0x42ed510d41560f362bc268dd915e4bd1c467c4c9dbbcefd7c9f2acf4e658c348,0x1c9ae149000615ca50da936388b73e40b19c03ad,5.75,2026-06-06 20:35:23.000000 UTC,29,22,0
0xe1215556d84b92d6e465f2e907e428c12b3083787dac0ff63dd5259d0c8b6b89,0x1a81c49d180e3daf02f7b3a2b9bb88ef7137a012,0.021,2026-06-06 18:26:11.000000 UTC,200,43,1
0xb96b50902ffbc5586b4ec33aee35a7d881d83408f8b5c858c8d690cfde27d66b,0x4bb7e7a416acbd88841e2fa066de168b0179814a,0.20042,2026-06-06 08:05:23.000000 UTC,0,0,0
0xf5ad82dbb551a53d7434655e95860694c9d11e7d5feb9b4613bd242898cc89c8,0x1558b49d6736e00fdf22b07a52b8c68be5f210a1,3.303,2026-06-04 13:01:23.000000 UTC,14,18,0
0x848d63a86134e5a311f824c5c9fe81a9c0a6f9b62461ccd3c45e48c1673830dc,0xfae6b21aa8f8389e8a54059d779c66c699eccc00,2.349,2026-06-02 19:16:47.000000 UTC,136,50,0
0x3c4fe855a08e00220f7083eebe2f3235fd7914d7f3f95a7523d33b5d1733529b,0x42237c62c7fecf035da15c98432c684c5f623d86,2.282,2026-06-02 09:05:47.000000 UTC,113,49,0
0x12fe4d815c1010d142187c8de989c12e044dcbc4b7366751c5c67218f190a67f,0xf7d84bf8177da67d1cb04c040b80a72aac84abb0,0.01537,2026-05-31 14:11:47.000000 UTC,0,0,0
0x2bcafbf1d9e086078ae4227c7dbc318d2bb5e681c2f41de9c1d7fb49a8aeb8bd,0xb32540983186a85721c01bd30e089604d71034ac,0.31029,2026-05-30 16:00:59.000000 UTC,90,57,0
0x8b02ad17867aeaed38666b0a2239b2a2abd69d1487dcf8dbd8b04c5b82e5456b,0x016452a1139dfbe6f6be85de8e59147dca52cf43,9.95,2026-05-29 01:50:47.000000 UTC,200,101,1
0x58fd698af9feae41a40bd432e7d2e365897fde46cfb7d9ed62009ba43e448617,0xfaa0c1a1c39d58a724160427fbb39608fe63233a,0.01721,2026-05-27 10:34:35.000000 UTC,142,58,0
0x5bde827ea59c3aba2a12c66880f62b7e801c9940748bc67092106bafec8102b6,0xb28193b29a27308ed25cd5ee967eb700435f1088,0.53436,2026-05-27 07:16:47.000000 UTC,6,9,0
0x4e32567e48d892f4da3b6fa498731e5e5dee9e3391f219bbae7d399fe1dcd0bd,0xbb9e6b5e0730f20d1cae914daaa0ba91e43fe2f8,2.25496,2026-05-27 03:04:11.000000 UTC,0,0,0
0x55c41fcad54f8b9742601bdaeee562cf03d03607f511527cb660505ae9d05e4f,0xe69a634a27a0cb65e755a1bc031eab8c582b338f,1.98,2026-05-26 22:21:11.000000 UTC,200,100,1
0x46d7b72d726d9a4d82bcd1136c2a42041db9e82b90a26e345b5557ac76e8251f,0x21235cb051cc004d2fb3901fdfacfd406d833cf0,0.10695,2026-05-26 01:32:11.000000 UTC,19,23,0
0x38a79fad97c384e8c3cd9c09d481d2317dd2aa86592927867a83a14871089767,0x8fc1b5634f89b2fc50880a70e7e8e054f9496d2f,0.468,2026-05-25 18:31:35.000000 UTC,119,81,0
