dep_hash,dep_address,dep_amount,w1_hash,w1_address,w1_amount,difference
0x53fbbcff02d07243eb770f3a56dfbd0f4c33e4b5a11a8b91e2b3491297f52d0d,0xc339865cd0688f814f72aef84451a88ba5bedad8,0.0691118067163318,0x7327018b1eed82f6236f559bcbeb63bc399beaad56a10d6445a3dfd1e6800767,0x30895b9ebde6788cf9dddafa15402e3f7cd931b6,0.0691118067163318,0.0
0x2463d204b99358cebc0bc54743f1070b23dfa4622201bb2948cee3926883ae56,0x1f0ec26e4bf9fc1d2bb7a4c97fcc935879514346,0.0697134925193795,0xdaad24dab66eeec326f0e183aee881d2f36215083204c3d0bb65a8da34e9a1e9,0xc339865cd0688f814f72aef84451a88ba5bedad8,0.0697134925193795,0.0
0x2dcc9fc9f5b2bb55fa38c66b89b4349cdcc6dff277867c5a1b522b875db3ad61,0x5fce36f4edabb1066ec55ad66577c732a097f2b7,0.0703542969844613,0x13637c41a2b8536e279a3d26bb5ad269ab027d52a7a94ab311936407c021563a,0x1f0ec26e4bf9fc1d2bb7a4c97fcc935879514346,0.0703542969844613,0.0
0x8d73b4ef75fd98ad14eb463afcbac1804d856467da1d22f100d25bada8b5f0e2,0x606a902cfb4638ecc64b843c75838440d177d42b,0.0709394218410544,0x25c1b347601f3f478e7118a3fc8438e8881657cf5df741d8fb5f9e88f15de888,0x5fce36f4edabb1066ec55ad66577c732a097f2b7,0.0709394218410544,0.0
0xedba79f1cbd50c00d00ff2fbaee5f95b0d4fe9419042edac71900567f432fb1d,0x10ebed3a273fa62c1e9fda1dfba154a04bcfd0d3,0.0715414572148519,0xf0a01a4df2f08b6c71cb24193bce9f1d73842ebad803b240513dedfb2a5a2588,0x606a902cfb4638ecc64b843c75838440d177d42b,0.0715414572148519,0.0
0x27e0558042819d32b883c0cc420f12528ae94a4444388ea8cc53d047c7762031,0xa76a1d10070eb87e7123c8b6368aefae6aa11c72,0.0721428072430593,0x0047f6bc9d738c0aa7269fa6920e5ee26c62aba01dfd21a139fd3a10abebc0f9,0x10ebed3a273fa62c1e9fda1dfba154a04bcfd0d3,0.0721428072430593,0.0
0x8887eb57a4f7c288923456730410bfef7b2b66d1f1c0432d6ff66b706726313d,0xc14923b376612cd54d5039abdc7884c0a21aa8df,0.0727590139384729,0x8d3ddcffe9ade85407d7c825a0b06b8ea6e49f44752b46c619a2a968ae61e966,0xa76a1d10070eb87e7123c8b6368aefae6aa11c72,0.0727590139384729,0.0
0xdc79f873c707cfc47bd9937c148e953f096e28549aa888992d780f07e61ba893,0x23ab887fa420408b82ce1510070d1cbc08b8968f,0.0734121878627423,0xbf327326c4b1ec3daeb62959d7f0b2b4d5f367f2960c3982eca9da54db35c538,0xc14923b376612cd54d5039abdc7884c0a21aa8df,0.0734121878627423,0.0
0x5fa93736794ac9429c162f57682a6cd112d9cb73c53e763e639a4fd61061d801,0x46323ba7cf0f3a8b685ab7c166c88de104474daa,0.0742184891242337,0x665e6ef6d6ac0537886af916c0d4cfb1cec0f9aabb92ae5de59595f5c386d7db,0x23ab887fa420408b82ce1510070d1cbc08b8968f,0.0742184891242337,0.0
0x2e8d7dc5add0f1357580cea1471d9194c76dce48d575e707bb40595f99829893,0xfc0b35d1ff570ec0cc2878f273093d7454bc2a45,0.074954910209609,0x9f06acdfa5148a3b0f3d2f69d953b736eee666fafec8a13d2989b93181c09b1e,0x46323ba7cf0f3a8b685ab7c166c88de104474daa,0.074954910209609,0.0
